Date,Close/Last,Volume,Open,High,Low
10/15/2021,$112.12,34203010,$112.505,$112.835,$111.11
10/14/2021,$111.99,46900160,$110.5,$112.22,$109.6301
10/13/2021,$109.16,55631920,$106.275,$109.88,$106.25
10/12/2021,$105.04,34039910,$105.165,$106.04,$104.34
10/11/2021,$104.68,31284390,$104.62,$107.2,$104.022
10/08/2021,$105.06,30623050,$106.55,$107.28,$104.89
10/07/2021,$106.45,41543110,$104.6,$107.95,$104.46
10/06/2021,$103.64,39071700,$100.445,$103.72,$100.35
10/05/2021,$101.81,31455250,$100.92,$102.8699,$100.6101
10/04/2021,$100.34,41967150,$101.742,$101.85,$99.82
10/01/2021,$102.45,41491590,$102.6,$103,$100.64
09/30/2021,$102.9,57636700,$102.08,$104.44,$101.99
09/29/2021,$100.35,52224720,$102.295,$102.66,$99.81
09/28/2021,$101.52,74468970,$106.835,$107.65,$101.42
09/27/2021,$108.16,51944350,$105.065,$108.44,$103.44
09/24/2021,$105.8,26482610,$105.185,$106.0499,$104.68
09/23/2021,$106.15,32816660,$104.89,$106.86,$103.89
09/22/2021,$104.38,34126280,$102.815,$104.56,$102.21
09/21/2021,$102.82,35481500,$102.15,$103.4299,$101.18
09/20/2021,$101.55,45228410,$101.58,$102.51,$99.51
09/17/2021,$103.88,44528340,$105.555,$105.98,$103.71
