Date,Close/Last,Volume,Open,High,Low
10/15/2021,$130.2,7609677,$129.02,$130.4763,$128.68
10/14/2021,$128.66,10639840,$126.16,$129.3,$125.99
10/13/2021,$125.04,12380250,$125.2,$126.3199,$123.52
10/12/2021,$122.95,10531460,$125.38,$125.47,$122.165
10/11/2021,$124.94,6288235,$126.055,$127.23,$124.88
10/08/2021,$126.55,6920524,$128.5912,$128.5912,$126.21
10/07/2021,$127.84,8010556,$129.265,$130.72,$127.59
10/06/2021,$128.06,8513727,$126.55,$128.27,$126.07
10/05/2021,$127.53,9244310,$126.13,$128.77,$125.69
10/04/2021,$126.68,8470312,$128.92,$129.79,$125.92
10/01/2021,$128.71,6863724,$129.8,$130.02,$126.47
09/30/2021,$128.98,6982505,$130.35,$131.08,$128.695
09/29/2021,$129.28,7037221,$130.59,$131.45,$128.89
09/28/2021,$129.9,8851657,$131.75,$132.7399,$129.7
09/27/2021,$133.48,4319466,$132.43,$134.04,$132.02
09/24/2021,$133.88,4554621,$133.11,$134.55,$132.8001
09/23/2021,$133.91,5918870,$133.75,$135.16,$133.22
09/22/2021,$133.01,5163043,$132.59,$133.49,$131.98
09/21/2021,$131.75,6175312,$133.587,$133.91,$131.28
09/20/2021,$132.76,9647058,$131.47,$133.12,$130.61
09/17/2021,$133.6,14550480,$137.81,$138,$133.14
09/16/2021,$138.4,6719871,$137.32,$138.96,$137.32
09/15/2021,$138.24,11289100,$140.805,$141,$137.52
09/14/2021,$141.14,6442067,$144.47,$144.81,$140.62
09/13/2021,$143.41,4312803,$144.02,$144.73,$142.03
09/10/2021,$142.68,6263271,$143.13,$146,$142.54
09/09/2021,$141.58,6190783,$142.47,$143.54,$141.45
09/08/2021,$142.52,5981277,$143.36,$143.62,$141.49
09/07/2021,$143.75,6362270,$144.675,$144.76,$143.12
09/03/2021,$144.63,5506586,$145.12,$145.99,$144.2301
09/02/2021,$145.12,6007588,$146.7,$146.89,$144.51
09/01/2021,$146.45,6451408,$146.84,$148.1,$146.22
08/31/2021,$146.69,7820509,$146.8,$147.53,$144.56
08/30/2021,$145.94,5263612,$145.59,$147.86,$145.555
08/27/2021,$144.85,6274499,$142.2,$144.95,$141.92
08/26/2021,$142.38,6825131,$143.19,$143.76,$141.62
08/25/2021,$143.87,5721635,$144.46,$145.43,$143.465
08/24/2021,$144.46,7066814,$144.59,$145.5925,$143.8433
08/23/2021,$144.14,6936893,$142.653,$144.61,$142.35
08/20/2021,$142.09,6140962,$140.61,$142.26,$140.3
08/19/2021,$140.61,8660978,$140.65,$141.45,$138.96
08/18/2021,$142.18,6546524,$143.84,$144.655,$141.98
08/17/2021,$144.41,7256805,$146.95,$147,$143.5701
08/16/2021,$148.13,4410945,$148.4,$149.08,$146.72
08/13/2021,$148.64,5764041,$147,$149.31,$146.93
08/12/2021,$147.15,5778056,$147.76,$148,$146.39
08/11/2021,$146.68,6215983,$146.06,$146.79,$144.4
08/10/2021,$145.87,4197116,$147.32,$147.5,$142.4
08/09/2021,$146.92,4966607,$146.79,$147.7178,$145.75
08/06/2021,$146.28,5733256,$146.13,$148.23,$145.92
08/05/2021,$146.83,7169204,$147.24,$147.47,$144.5673
08/04/2021,$148.22,5556400,$148.02,$149.2,$147.33
08/03/2021,$147.95,6223384,$148.91,$149.58,$146.56
08/02/2021,$148.86,10823830,$150,$152.28,$148.21
07/30/2021,$149.8,8404794,$149.2,$150.41,$148.36
07/29/2021,$150.99,19446920,$146.5,$151.52,$146.41
07/28/2021,$142.44,9303418,$141.27,$142.91,$140.14
07/27/2021,$140.93,7575761,$142.49,$143,$138.21
07/26/2021,$143.5,6253904,$143.95,$144.3781,$142.24
07/23/2021,$144.88,6310362,$143.45,$144.99,$142.03
07/22/2021,$142.44,3862571,$142,$142.85,$141.5
07/21/2021,$142.17,6162215,$139.65,$142.22,$139.65
07/20/2021,$139.55,6020445,$139.02,$140.42,$137.2
07/19/2021,$138.79,9371342,$138.325,$138.895,$136.81
07/16/2021,$139.71,5914325,$141.87,$142.51,$139.53
07/15/2021,$141.46,6667440,$144.12,$144.14,$140.72
07/14/2021,$143.75,11305730,$143.5,$146.34,$142.5
07/13/2021,$141.18,5657645,$142.44,$142.66,$140.42
07/12/2021,$142.47,6786522,$141.4,$143.02,$141.2
07/09/2021,$141.43,7356808,$137.89,$141.73,$137.81
07/08/2021,$138.29,7501092,$137.72,$138.87,$135.6
07/07/2021,$139.97,5034862,$142.24,$142.36,$139.0612
07/06/2021,$141.19,7095210,$143,$143.18,$139.68
07/02/2021,$142.58,5399721,$141.99,$142.68,$141.25
07/01/2021,$140.8,6094085,$142.91,$143.02,$140.35
06/30/2021,$142.93,6449659,$142.35,$143.628,$141.84
06/29/2021,$142.62,6885355,$139.632,$142.95,$139.25
06/28/2021,$139.72,6645474,$138.23,$140.17,$137.98
06/25/2021,$137.65,7949190,$138.45,$139.47,$136.97
06/24/2021,$137.92,7941660,$136.619,$138.51,$136.35
06/23/2021,$135.52,6613763,$134.89,$136.23,$134.81
06/22/2021,$135.08,5976376,$134.22,$135.31,$133.29
06/21/2021,$133.96,6371423,$133.05,$135.1,$132.66
06/18/2021,$133,12753570,$134.55,$134.58,$132.24
06/17/2021,$135.35,6618346,$134.31,$136.62,$134.09
06/16/2021,$134.95,7404737,$136.47,$137.05,$133.66
06/15/2021,$135.58,5723574,$137.14,$137.38,$135.23
06/14/2021,$137.31,7912621,$135.195,$137.31,$134.7869
06/11/2021,$134.62,6529894,$133.8,$134.65,$133.65
06/10/2021,$134.22,5522273,$133.05,$135.1,$132.58
06/09/2021,$132.89,6717243,$135.105,$135.35,$132.79
06/08/2021,$134.2,9657889,$134.06,$135.3895,$133
06/07/2021,$133.32,5563253,$133.7,$133.77,$132.64
06/04/2021,$134.34,7416675,$132.525,$135.05,$132.2
06/03/2021,$131.78,6643997,$132.65,$133.39,$131.42
06/02/2021,$133.82,6025988,$133.18,$134.73,$132.47
06/01/2021,$133.94,7059614,$135.104,$136.07,$133.53
05/28/2021,$134.54,7044084,$134.154,$135.64,$133.95
05/27/2021,$133.64,7379260,$132.73,$134.64,$132.71
05/26/2021,$133.09,6663325,$133.87,$134.52,$132.22
05/25/2021,$133.75,7271428,$133.54,$134.3,$132.8
05/24/2021,$132.91,8229331,$131.33,$134,$131.33
